2026-06-07 01:26:05.105 [info] [McpGatewayService] Initialized
2026-06-07 01:31:12.507 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-07 01:44:21.383 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-07 01:45:56.224 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-07 01:48:13.123 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-07 09:15:18.812 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-07 09:16:19.152 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-07 16:47:37.408 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-07 17:41:05.204 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-07 17:42:15.727 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-08 07:22:08.092 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 13:07:59.116 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 13:59:35.623 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
2026-06-09 18:06:59.458 [info] [McpGateway][Channel] Client disconnected: [object Object], cleaning up gateways
